,도로명전체주소,사업장명
1489345,"경기도 광명시 일직로12번길 21, SH&01 프라자 1층 107호 (일직동)",피자알볼로광명일직점
1490099,"경기도 광명시 일직로 28, 광명트리플타워오피스텔 201,202호 (일직동)",회랑게랑
1490100,"경기도 광명시 일직로 28, 광명트리플타워오피스텔 102,102-1 일부호 (일직동)",채선당도시락앤드샐러드앤드밀키트24광명역점
1490639,"경기도 광명시 일직로 79, 산타마리아 B동 103호 (일직동)",포플러스2
1490640,"경기도 광명시 새빛공원로 67, 광명역자이타워 B동 111,112,113호 (일직동)",황제짬뽕
1490641,"경기도 광명시 신기로17번길 3, 서원빌딩 1층 103,104,106호 (일직동)",남도술상KTX광명역점
1491908,"경기도 광명시 오리로976번길 14, 1층 일부호 (광명동)",장수식품
1492320,"경기도 광명시 하안로287번길 15, 1층 104호 (하안동)",다자연세꼬치
1492337,"경기도 광명시 일직로 72, 광명무역센터 B동 1층 112호 (일직동)",도톰카츠
1492443,"경기도 광명시 광명역로 28, 근린생활시설동 104,105호 (일직동, 광명역센트럴자이)",미스터치떡
1492444,"경기도 광명시 목감로268번길 23, 1층 전체호 (광명동)",춘리마라탕
1492519,"경기도 광명시 새빛공원로 67, 자이타워 C동 117-6호 (일직동)",앵그리푸드
1492520,"경기도 광명시 일직로99번길 2, 우림 1층 (일직동)",품격있는한우
1492521,"경기도 광명시 오리로 835, 철산센트럴푸르지오상가 107호 일부호 (철산동)",참이맛감자탕철산배달점
1492864,"경기도 광명시 양지로 19, 어반브릭스 B동 1층 134호 (일직동)",우리할매떡볶이광명역점
1492942,"경기도 광명시 소하로76번길 7, 우심프라자 1층 106호 (소하동)",나는피자
1493400,"경기도 광명시 광명로 858, 1층 103호 (광명동)",몽스피자광명사거리직영점
1493489,"경기도 광명시 오리로976번길 12-1, 1층 일부호 (광명동)",대호포차
1494172,"경기도 광명시 오리로854번길 6, 철화빌딩 3층 일부호 (철산동)",럭키데이
1494173,"경기도 광명시 소하로 88, 108,109호 (소하동)",애월식당
